City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Kerema,PG,82.33,overcast clouds,-7.9631,145.7785,Frena Lodge
596,Porto Velho,BR,77.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
604,Neiafu,TO,86.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
608,Carutapera,BR,76.14,overcast clouds,-1.195,-46.02,Lidera
618,Black River,JM,79.45,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
623,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
626,Henderson,US,82.83,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
629,Seminole,US,75.97,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
631,Karratha,AU,86.22,broken clouds,-20.7377,116.8463,ibis Styles Karratha
634,Maitum,PH,82.45,broken clouds,6.0392,124.4986,Pearl Garden
635,Loa Janan,ID,75.11,moderate rain,-0.583,117.095,Kost bu jono
638,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
640,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
641,Anloga,GH,82.08,light rain,5.7947,0.8973,Pin Drop Hotel
642,Lom Sak,TH,83.01,clear sky,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
655,Wajid,SO,77.36,overcast clouds,3.8093,43.2471,xamdihotelresturant114
657,Wanning,CN,77.54,overcast clouds,18.8003,110.3967,Paradise Hotel
661,Sorong,ID,83.01,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
664,Dumbea,NC,82.36,broken clouds,-22.15,166.45,Le gîte du Tour du Monde
666,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
670,Touros,BR,80.29,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
674,San Carlos,VE,82.96,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
675,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
685,Porbandar,IN,79.57,clear sky,21.6422,69.6093,Lords Inn Porbandar
687,Svay Rieng,KH,82.92,overcast clouds,11.0879,105.7993,Apsara guesthouse
697,Waingapu,ID,82.83,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
700,Cabot,US,75.92,few clouds,34.9745,-92.0165,Super 8 by Wyndham Cabot
703,Dwarka,IN,79.63,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
704,Yarada,IN,82.72,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
710,Masiga,PH,80.91,scattered clouds,13.3607,121.8278,Golden SunSet Resort
713,Banjar,ID,81.7,broken clouds,-8.19,114.9675,The Hamsa Resort
716,Mahibadhoo,MV,83.61,broken clouds,3.7833,72.9667,Omadhoo Inn
724,Ramos Arizpe,MX,88.83,broken clouds,25.55,-100.9667,Mario's Inn
