City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Beringovskiy,RU,63.05,179.3167,32.25,96,100,20.92,light snow
80,Nuuk,GL,64.1835,-51.7216,12.11,70,19,9.95,few clouds
81,Port Augusta,AU,-32.5,137.7667,78.3,29,0,1.81,clear sky
82,Bethel,US,41.3712,-73.414,58.77,39,8,8.01,clear sky
83,Husavik,IS,66.0449,-17.3389,40.1,76,100,12.59,overcast clouds
84,Pandan,PH,14.0453,124.1694,81.5,70,24,5.37,few clouds
85,Bonavista,CA,48.6499,-53.1147,33.17,83,60,14.63,broken clouds
86,Ancud,CL,-41.8697,-73.8203,56.23,88,62,4.45,broken clouds
87,Presidente Epitacio,BR,-21.7633,-52.1156,64.89,71,0,6.78,clear sky
88,Caravelas,BR,-17.7125,-39.2481,74.95,84,100,13.44,moderate rain
89,San Policarpo,PH,12.1791,125.5072,81.64,75,58,4.27,broken clouds
90,Inirida,CO,3.8653,-67.9239,75.61,93,88,1.1,overcast clouds
91,Saskylakh,RU,71.9167,114.0833,-5.84,98,90,6.62,overcast clouds
92,Perth,AU,-31.9333,115.8333,64.09,90,0,5.75,clear sky
93,Puerto Ayora,EC,-0.7393,-90.3518,76.75,86,87,8.97,overcast clouds
94,Grindavik,IS,63.8424,-22.4338,46.87,93,100,32.21,light intensity drizzle
95,Noumea,NC,-22.2763,166.4572,82.38,99,36,10.85,scattered clouds
96,Grand Gaube,MU,-20.0064,57.6608,76.37,85,42,10.0,light rain
97,Bandarbeyla,SO,9.4942,50.8122,82.76,74,75,6.11,broken clouds
98,Lakatoro,VU,-16.0999,167.4164,84.78,67,56,3.44,broken clouds
99,East London,ZA,-33.0153,27.9116,61.56,64,100,9.22,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,-14.55,98,10,7.96,clear sky
101,Roebourne,AU,-20.7833,117.1333,86.81,55,66,6.82,broken clouds
102,Canico,PT,32.6333,-16.85,65.71,60,20,16.11,few clouds
103,Laguna,US,38.421,-121.4238,71.92,37,0,12.66,clear sky
104,Esperance,AU,-33.8667,121.9,64.24,72,50,11.74,scattered clouds
105,Kukshi,IN,22.2,74.75,79.43,49,0,9.86,clear sky
106,Vila Velha,BR,-20.3297,-40.2925,72.95,74,75,4.0,broken clouds
107,Butaritari,KI,3.0707,172.7902,81.43,74,56,10.16,light rain
108,Manokwari,ID,-0.8667,134.0833,82.98,68,100,1.43,overcast clouds
109,Novovasylivka,UA,46.8315,35.7536,45.73,95,49,6.35,scattered clouds
110,Demirci,TR,39.0461,28.6589,50.02,64,32,4.47,scattered clouds
111,Bogo,PH,11.0517,124.0055,82.17,74,82,2.15,broken clouds
112,Wakkanai,JP,45.4094,141.6739,44.58,45,20,9.22,few clouds
113,Umm Kaddadah,SD,13.6017,26.6876,79.41,8,94,12.95,overcast clouds
114,Bluff,NZ,-46.6,168.3333,56.8,65,28,35.97,scattered clouds
115,Celestun,MX,20.8667,-90.4,80.71,78,19,18.5,few clouds
116,Geraldton,AU,-28.7667,114.6,61.21,94,2,2.3,clear sky
117,Mercedes,AR,-34.6515,-59.4307,55.85,66,0,7.83,clear sky
118,Alberton,CA,46.8168,-64.0654,37.72,98,100,7.25,overcast clouds
119,Kayes,ML,14.0,-11.0,93.74,9,64,5.75,broken clouds
120,Ribeira Grande,PT,38.5167,-28.7,61.2,72,40,8.05,scattered clouds
121,Pecos,US,31.4229,-103.4932,92.23,3,40,11.5,scattered clouds
122,Yulara,AU,-25.2406,130.9889,84.04,24,30,8.05,scattered clouds
123,Kathu,TH,7.9178,98.3332,86.76,77,61,9.42,broken clouds
124,Qaanaaq,GL,77.484,-69.3632,-4.85,93,100,5.95,overcast clouds
125,Sison,PH,16.1739,120.5153,82.56,68,82,3.49,broken clouds
126,Flinders,AU,-34.5833,150.8552,74.05,84,95,5.01,overcast clouds
127,Manaure,CO,11.7751,-72.4445,81.7,70,69,23.96,broken clouds
128,Yeppoon,AU,-23.1333,150.7333,76.78,63,6,12.64,clear sky
129,Pontianak,ID,-0.0333,109.3333,76.98,94,20,3.44,few clouds
130,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,49,14.29,light rain
131,Gubakha,RU,58.8386,57.5532,37.17,99,100,5.17,light rain
132,Shache,CN,38.4167,77.2406,65.71,28,7,7.07,clear sky
133,Hithadhoo,MV,-0.6,73.0833,82.47,67,51,2.98,broken clouds
134,La Ronge,CA,55.1001,-105.2842,27.05,60,100,3.09,overcast clouds
135,Hovd,MN,48.0056,91.6419,31.73,33,0,6.49,clear sky
136,Valparaiso,CL,-33.0393,-71.6273,58.48,70,20,7.81,few clouds
137,Conceicao Da Barra,BR,-18.5933,-39.7322,74.86,67,67,12.35,broken clouds
138,New Norfolk,AU,-42.7826,147.0587,59.67,61,97,3.09,overcast clouds
139,Casablanca,MA,33.5928,-7.6192,64.62,82,0,11.01,clear sky
140,Lebu,CL,-37.6167,-73.65,53.65,88,26,12.39,scattered clouds
141,Rock Sound,BS,24.9,-76.2,75.78,77,100,9.33,moderate rain
142,Marondera,ZW,-18.1853,31.5519,58.62,95,10,4.25,clear sky
143,La Romana,DO,18.4273,-68.9728,76.44,71,3,13.65,clear sky
144,Sabang,ID,5.8933,95.3214,83.03,72,98,3.58,overcast clouds
145,Ambulu,ID,-8.345,113.6058,78.21,87,54,2.17,broken clouds
146,Pedernales,DO,18.0384,-71.744,79.95,65,16,12.35,few clouds
147,Bongandanga,CD,1.5,21.05,70.52,92,99,1.23,overcast clouds
148,Billings,US,45.7833,-108.5007,29.16,57,100,4.0,overcast clouds
149,Vire,FR,48.9167,-0.8333,47.59,88,26,3.62,scattered clouds
150,Maniitsoq,GL,65.4167,-52.9,21.13,59,94,7.65,overcast clouds
151,Haines Junction,CA,60.7522,-137.5108,35.8,50,34,4.54,scattered clouds
152,Athabasca,CA,54.7169,-113.2854,30.49,53,100,6.51,overcast clouds
